productId,productName,categoryId,categoryName,numberOfUnits,mrp,discountPrice,description
1,"Cotton T-Shirt",5,Clothing,150,14.99,12.99,"Classic round-neck cotton t-shirt available in various colors."
2,"Wireless Mouse",1,Electronics,100,29.99,24.99,"A high-precision wireless mouse with ergonomic design."
3,"Office Chair",3,Furniture,20,199.99,149.99,"Ergonomic office chair with adjustable height."
4,"Bluetooth Headphones",1,Electronics,60,49.99,39.99,"Wireless headphones with noise-canceling feature."
5,"Standing Desk",3,Furniture,10,399.99,349.99,"Adjustable height standing desk for office use."
6,Bananas,2,Groceries,200,0.99,0.89,"Fresh and ripe bananas."
7,"Yoga Mat",6,Fitness,40,19.99,15.99,"Non-slip yoga mat for exercise and meditation."
8,"Electric Kettle",1,Electronics,30,39.99,34.99,"Stainless steel electric kettle with auto shut-off."
9,"Leather Wallet",7,Accessories,100,29.99,24.99,"Premium leather wallet with multiple compartments."
10,Notebook,8,Stationery,300,2.99,2.49,"Spiral-bound notebook for school and office use."
11,"Running Shoes",5,Clothing,80,89.99,74.99,"Lightweight and durable running shoes."
12,Smartwatch,1,Electronics,25,199.99,179.99,"Smartwatch with heart rate monitor and GPS."
13,"Recliner Sofa",3,Furniture,5,899.99,799.99,"Comfortable recliner sofa with leather upholstery."
14,"Almond Milk",2,Groceries,100,3.99,3.49,"Dairy-free almond milk, perfect for vegan diets."
15,"Resistance Bands",6,Fitness,70,14.99,11.99,"Set of resistance bands for strength training."
16,"Air Fryer",1,Electronics,20,129.99,109.99,"Air fryer for healthy and oil-free cooking."
17,"Silk Scarf",7,Accessories,50,49.99,39.99,"Elegant silk scarf available in various patterns."
18,"Ballpoint Pens",8,Stationery,500,1.99,1.49,"Pack of 10 ballpoint pens with smooth ink."
19,"Hiking Backpack",9,Outdoor,40,79.99,69.99,"Lightweight hiking backpack with multiple compartments."
20,"Desk Lamp",1,Electronics,30,19.99,15.99,"LED desk lamp with adjustable brightness."
21,"Protein Powder",6,Fitness,60,49.99,44.99,"High-quality protein powder for muscle recovery."
22,"Travel Mug",7,Accessories,150,14.99,12.99,"Insulated travel mug to keep beverages hot or cold."
23,"Cookware Set",3,Kitchen,15,199.99,179.99,"Non-stick cookware set with 10 pieces."
24,"Baby Stroller",10,"Baby Products",10,299.99,249.99,"Lightweight and foldable baby stroller."
25,"Shower Gel",4,Beauty,120,9.99,7.99,"Refreshing shower gel with natural ingredients."
26,"Camping Tent",9,Outdoor,25,129.99,119.99,"Waterproof camping tent for 2-4 people."
27,"Gaming Keyboard",1,Electronics,40,89.99,79.99,"RGB mechanical gaming keyboard with customizable keys."
28,"Electric Toothbrush",4,Beauty,50,49.99,39.99,"Electric toothbrush with multiple brushing modes."
29,"Cotton T-Shirt",5,Clothing,150,14.99,12.99,"Comfortable cotton t-shirt in multiple colors."
30,"Vitamin C Serum",4,Beauty,75,25.0,19.99,"Brightening serum enriched with Vitamin C."
31,"Organic Apples",2,Groceries,50,3.99,3.49,"Fresh and organic apples."
